date,no2,o3,co,so2,pm10,pm25,코막힘,인후염,기관지염,알레르기비염,호흡기질환,감기약,비염약,기침약,콧물약,알레르기약
2023-03-06,0.020298858046323635,0.029134000000000004,0.6116666666666667,0.0027818627853925713,56.02,32.64,20.15926,60.43587,45.22212,44.55155,7.50209,17.77391,23.37391,12.24347,9.35652,12.20869
2023-03-07,0.037612,0.031724,0.5728571428571428,0.0036795918367346935,63.3,32.82,21.37468,56.53813,42.03688,44.88683,7.25062,15.96521,21.87826,11.65217,8.03478,11.09565
2023-03-08,0.035478,0.032874,0.5655102040816327,0.003545833333333333,63.54,30.12,21.20704,55.15507,40.48616,43.46186,6.74769,17.9826,21.3913,11.54782,8.41739,11.89565
2023-03-09,0.0326,0.026172,0.5748979591836735,0.002861224489795918,62.96,16.327102082725187,20.15926,58.6756,42.20452,39.52221,6.37049,17.84347,19.65217,11.23478,8.31304,11.16521
2023-03-10,0.038986,0.025532,0.4408265827021971,0.0035299999999999997,31.262628533251103,16.68375760685416,17.81223,54.27493,38.09723,34.70243,6.45431,15.13043,20.48695,10.71304,6.15652,10.92173
2023-03-11,0.035308,0.043276,0.7086,0.003673469387755102,31.262628533251103,16.68375760685416,18.39899,46.10226,35.16345,29.88264,9.22045,15.7913,19.2,10.95652,6.29565,10.71304
2023-03-12,0.013236,0.045656,0.4778,0.002782,54.74,24.306122448979593,18.39899,40.10896,33.69656,30.30176,6.20284,15.09565,21.25217,11.72173,7.09565,10.43478
2023-03-13,0.015398,0.03225,0.3333333333333333,0.002788,33.96,7.76,22.12908,62.44761,53.0176,36.04358,9.68147,21.9826,27.7913,12.20869,9.46086,11.40869
2023-03-14,0.021884,0.031748000000000005,0.38659999999999994,0.0029469387755102043,41.9,9.7,21.8357,62.53143,48.78457,38.55825,9.0528,21.32173,23.7913,11.82608,9.63478,11.37391
2023-03-15,0.024628,0.026987999999999998,0.456,0.002942,47.42,12.52,19.5725,61.90276,46.85666,38.22296,7.75356,21.11304,25.56521,12.97391,8.17391,10.81739
2023-03-16,0.016718,0.030732,0.36719999999999997,0.002918,59.7,10.6,20.78792,61.48365,46.77284,35.373,6.95725,19.5826,26.12173,14.15652,8.20869,11.86086
